chart_position,artist,song
1,Jack Harlow,lovin on me
2,Paul Russell,lil boo thang
3,Zach Bryan,i remember everything (feat. kacey musgraves)
4,Chris Stapleton,white horse
5,Jelly Roll,save me (with lainey wilson)
6,Jelly Roll,need a favor
7,Taylor Swift,cruel summer
8,Austin Williams,90s rap mashup
9,David Kushner,daylight
10,Morgan Wallen,thinkin’ bout me
11,Mariah Carey,all i want for christmas is you
12,Trans-Siberian Orchestra,christmas / sarajevo 12/24 (instrumental)
13,Teddy Swims,lose control
14,Luke Combs,fast car
15,Dua Lipa,houdini
16,Jung Kook,standing next to you
17,The Beatles,now and then
18,Morgan Wallen,last night
19,Tate McRae,greedy
20,Brenda Lee,rockin' around the christmas tree (single)
21,Jack Harlow,lovin on me
22,Warren Zeiders,sin so sweet
23,Taylor Swift,lover
24,Tyla,water
25,Luke Combs,where the wild things are
26,Jung Kook & Jack Harlow,3d
27,Doja Cat,paint the town red
28,Jung Kook,standing next to you (band version)
29,Jung Kook,standing next to you (future funk remix)
30,Jung Kook,standing next to you (slow jam remix)
31,Jung Kook,standing next to you (pbr&b remix)
32,Jung Kook,standing next to you (holiday remix)
33,Jung Kook,standing next to you (latin trap remix)
34,Luminara Stellaris,around me the cold night
35,Jung Kook,standing next to you (instrumental)
36,Sia,unstoppable
37,Taylor Swift,don’t blame me
38,Taylor Swift,karma
39,Jimmy Fallon & Meghan Trainor,wrap me up
40,Oliver Anthony Music,rich men north of richmond
41,Dax,to be a man (feat. darius rucker)
42,Jessie Murph & Jelly Roll,wild ones (extended version)
43,Olivia Rodrigo,can’t catch me now (from the hunger games: the ballad of songbirds & snakes)
44,Björk & ROSALÍA,oral
45,Sia,snowman
46,Taylor Swift,anti-hero
47,"The Philly Specials, Jason Kelce & Travis Kelce",fairytale of philadelphia
48,Miley Cyrus,used to be young
49,*NSYNC & Justin Timberlake,better place (from trolls band together)
50,Taylor Swift,love story (taylor’s version)
51,Taylor Swift,is it over now? (taylor's version) [from the vault]
52,"Nat ""King"" Cole",the christmas song (merry christmas to you)
53,Caldwell,flyin' pass (single)
54,Lainey Wilson,watermelon moonshine
55,Luminara Stellaris,next winter i will wait for you forever
56,Jelly Roll,save me
57,Bad Bunny,monaco
58,Cody Johnson,the painter
59,Walker Hayes,fancy like christmas
60,Taylor Swift,you belong with me (taylor’s version)
61,Chris Stapleton,tennessee whiskey
62,Dua Lipa,dance the night
63,Bruno Mars,talking to the moon
64,Taylor Swift,paper rings
65,Jelly Roll,son of a sinner
66,Taylor Swift,style (taylor's version)
67,Taylor Swift,look what you made me do
68,Trans-Siberian Orchestra,wizards in winter (instrumental)
69,Luminara Stellaris,even though i know you
70,Dolly Parton & Kenny Rogers,islands in the stream
71,Miley Cyrus,flowers
72,HARDY,truck bed
73,Alvin & The Chipmunks,the chipmunk song (christmas don't be late)
74,Zach Bryan,something in the orange (z&e's version)
75,Taylor Swift,...ready for it?
76,Billie Eilish,"what was i made for? [from the motion picture ""barbie""]"
77,Tate McRae,exes
78,Noah Kahan & Post Malone,dial drunk
79,Wham!,last christmas (single version)
80,Drake,evil ways (feat. j. cole)
81,Luminara Stellaris,in the sky a white cloud drifted lazily
82,Jung Kook & Latto,seven (explicit ver.)
83,Warren Zeiders,pretty little poison
84,Rema & Selena Gomez,calm down
85,Drake,you broke my heart
86,2 Chainz & Lil Wayne,presha
87,Trans-Siberian Orchestra,a mad russian's christmas (instrumental)
88,Max McNown,a lot more free
89,Taylor Swift,bigger than the whole sky
90,Brandon Lake,gratitude
91,Bing Crosby,white christmas
92,Doja Cat,agora hills
93,blink-182,one more time
94,Nate Smith,world on fire
95,2 Chainz & Lil Wayne,g6
96,Olivia Rodrigo,vampire
97,Lainey Wilson,wildflowers and wild horses
98,Mitski,my love mine all mine
99,Kenya Grace,strangers
100,Taylor Swift,august
1,Billie Eilish,"what was i made for? [from the motion picture ""barbie""]"
